,ent_num,Add_num,Address,City/State/Province/Postal Code,Country,Add_remarks
2523,9759,12213,,,India,
2524,9759,12214,,,Pakistan,
2525,9759,12215,,,United Arab Emirates,
2526,9760,12216,,,,
2527,9761,12217,,,,
2528,9762,12218,,,,
2529,9763,12220,Pasdaran Road 15,Tehran,Iran,
2530,9764,12223,PO Box 19395-4731,Tehran,Iran,
2531,9766,12224,,,,
2532,9768,12226,,,,
2533,9769,12227,,,,
2534,9770,12228,,,,
2535,9771,12229,,,,
2536,9797,12335,,,,
2537,9898,12866,,,,
2538,9932,12948,,,,
2539,9935,12956,,,,
2540,9936,12958,"Kaya WFG (Jombi) Mensing 14, P.O. Box 3895","Willemstad, Curacao",Netherlands Antilles,
2541,9936,12959,"5ta. Ave. No. 6407 esq. a 66, Miramar, Municipio Playa",La Habana,Cuba,
2542,9941,12972,Maliki,Damascus,Syria,
2543,9947,12979,Avenida Estacion No. 5BN-73 of. 207,Cali,Colombia,
2544,9948,12974,Carrera 38 No. 13-138 Acopi,"Yumbo, Valle",Colombia,
2545,9948,12975,Calle 15 No. 11-34,"Pasto, Narino",Colombia,
2546,9948,12976,Carrera 1D Bis. No. 15-55,"Neiva, Huila",Colombia,
2547,9948,12977,Calle 39 No. 17-42,"Neiva, Huila",Colombia,
2548,9948,12978,Apartado Aereo 30530,Cali,Colombia,
2549,9949,12992,,Beirut,Lebanon,
2550,9955,12998,,,,
2551,9956,12999,,,,
2552,9957,13001,"Avenida Victoria No. 36, Urbanizacion Bolivar La Victoria","Jose Felix Rivas, Estado de Aragua",Venezuela,
2553,9958,13002,,,,
2554,9959,13003,,,,
2555,9960,13004,,,,
2556,9961,13005,,,,
2557,9962,13006,,,,
2558,9963,13007,,,,
2559,9964,13018,,,Lebanon,
2560,9965,13010,Harat Hurayk,Beirut,Lebanon,
2561,9965,13011,,Burj al-Barajinah,Lebanon,
2562,9965,13012,,Sidon,Lebanon,
2563,9965,13013,,Tyre,Lebanon,
2564,9965,13014,,Al-Nabatiyah,Lebanon,
2565,9965,13015,,Ba'albak,Lebanon,
2566,9965,13016,,Hirmil,Lebanon,
2567,9966,13019,,,Lebanon,
2568,9971,13026,"Paseo De Los Heroes, Colonia Rio Tijuana 2110","Tijuana, Baja California",Mexico,
2569,9971,13027,Entre Via Rapida y Jose Clemente Orozco,"Tijuana, Baja California",Mexico,
2570,9971,13028,"Blvd. Agua Caliente 10440, Colonia Aviacion 22420","Tijuana, Baja California",Mexico,
2571,9972,13037,"Avenida Negrete 220 Local 2B, Colonia Zona Central","Tijuana, Baja California",Mexico,
2572,9973,13039,Cuauhtemoc 6046 3 Libertad,"Tijuana, Baja California",Mexico,
2573,9974,13041,"Ocampo 1860 4, Colonia Zona Central","Tijuana, Baja California",Mexico,
2574,9974,13042,Entre Juan Sarabia y Plutarco Elias C.,"Tijuana, Baja California",Mexico,
2575,9975,13044,"Agua Caliente 10440 9, Colonia Aviacion","Tijuana, Baja California",Mexico,
2576,9975,13045,Entre Abelardo L. Rodriguez y Avenida Del Rio,"Tijuana, Baja California",Mexico,
2577,9976,13047,"C. Mision de Mulege 2993, Colonia Zona Urbana Rio Tijuana","Tijuana, Baja California",Mexico,
2578,9976,13048,"Avenida Manuela Herrera 590, Colonia Rio Reforma CP 22000","Tijuana, Baja California",Mexico,
2579,9976,13049,"Avenida Manuela Herrera 592, Colonia Rio Reforma CP 22000","Tijuana, Baja California",Mexico,
2580,9976,13050,"Avenida Del Bosque 4640, Colonia Jardines de Chapultepec","Tijuana, Baja California",Mexico,
2581,9976,13051,"C. Hermosillo, Colonia Rancho El Grande CP 22000","Tijuana, Baja California",Mexico,
2582,9976,13052,"Pda. Mercurio, Colonia Puerta De Hierro CP 22330","Tijuana, Baja California",Mexico,
2583,9976,13053,"Pda. Del Cobre 0, Colonia Puerto De Hierro CP 22000","Tijuana, Baja California",Mexico,
2584,9976,13054,"c/o COMPLEJO TURISTICO OASIS, S.A. DE C.V.","Rosarito, Baja California",Mexico,
2585,9976,13055,c/o PLAYA MAR S.A. DE C.V.,"Tijuana, Baja California",Mexico,
2586,9976,13056,c/o INMOBILIARIA LA PROVINCIA S.A. DE C.V.,"Tijuana, Baja California",Mexico,
2587,9976,13057,c/o INMOBILIARIA ESTADO 29 S.A. DE C.V.,"Tijuana, Baja California",Mexico,
2588,9976,13058,c/o INMOBILIARIA TIJUANA COSTA S.A. DE C.V.,"Tijuana, Baja California",Mexico,
2589,9978,13067,Calle Nevado de Toluca 845,"Tijuana, Baja California",Mexico,
2590,9978,13068,c/o INMOBILIARIA LA PROVINCIA S.A. DE C.V.,"Tijuana, Baja California",Mexico,
2591,9978,13069,c/o INMOBILIARIA ESTADO 29 S.A. DE C.V.,"Tijuana, Baja California",Mexico,
2592,9979,13071,"Calle Rio Bravo, Colonia Revolucion","Tijuana, Baja California",Mexico,
2593,9979,13072,"Avenida Independencia, Colonia Zona Urbana Rio Tijuana","Tijuana, Baja California",Mexico,
2594,9979,13073,c/o INMOBILIARIA LA PROVINCIA S.A. DE C.V.,"Tijuana, Baja California",Mexico,
2595,9979,13074,c/o INMOBILIARIA ESTADO 29 S.A. DE C.V.,"Tijuana, Baja California",Mexico,
2596,9982,13087,Paseo Playas de Tijuana 317,"Tijuana, Baja California",Mexico,
2597,9982,13088,"Paseo del Pedregal 3034, Colonia Playas de Tijuana, Secc. Costa Hermosa","Tijuana, Baja California",Mexico,
